Date,Open,High,Low,Close,Change (Pips),Change (%)
1/2/2018 0:00,112.578,112.792,112.055,112.287,-29.1,-0.26%
1/3/2018 0:00,112.274,112.608,112.17,112.508,23.4,0.21%
1/4/2018 0:00,112.503,112.864,112.46,112.749,24.6,0.22%
1/5/2018 0:00,112.743,113.309,112.717,113.055,31.2,0.28%
1/8/2018 0:00,113.126,113.387,112.881,113.09,-3.6,-0.03%
1/9/2018 0:00,113.09,113.181,112.368,112.65,-44,-0.39%
1/10/2018 0:00,112.641,112.782,111.266,111.427,-121.4,-1.09%
1/11/2018 0:00,111.43,111.876,111.045,111.268,-16.2,-0.15%
1/12/2018 0:00,111.258,111.697,110.914,111.042,-21.6,-0.19%
1/16/2018 0:00,110.528,110.982,110.245,110.471,-5.7,-0.05%
1/17/2018 0:00,110.451,111.348,110.195,111.304,85.3,0.77%
1/18/2018 0:00,111.279,111.482,110.692,111.103,-17.6,-0.16%
1/19/2018 0:00,111.096,111.132,110.492,110.821,-27.5,-0.25%
1/22/2018 0:00,110.566,111.223,110.5,110.933,36.7,0.33%
1/23/2018 0:00,110.913,111.18,110.253,110.291,-62.2,-0.56%
1/24/2018 0:00,110.307,110.338,108.97,109.223,-108.4,-0.99%
1/25/2018 0:00,109.211,109.701,108.497,109.407,19.6,0.18%
1/26/2018 0:00,109.405,109.769,108.28,108.642,-76.3,-0.70%
1/29/2018 0:00,108.699,109.202,108.507,108.957,25.8,0.24%
1/30/2018 0:00,108.944,109.202,108.41,108.777,-16.7,-0.15%
1/31/2018 0:00,108.773,109.446,108.595,109.182,40.9,0.37%
2/1/2018 0:00,109.18,109.751,109.095,109.403,22.3,0.20%
2/2/2018 0:00,109.409,110.486,109.281,110.175,76.6,0.70%
2/5/2018 0:00,110.181,110.292,108.992,109.148,-103.3,-0.95%
2/6/2018 0:00,109.084,109.655,108.458,109.561,47.7,0.44%
2/7/2018 0:00,109.55,109.708,108.917,109.332,-21.8,-0.20%
2/8/2018 0:00,109.32,109.784,108.581,108.755,-56.5,-0.52%
2/9/2018 0:00,108.735,109.311,108.047,108.805,7,0.06%
2/12/2018 0:00,108.843,108.887,108.437,108.66,-18.3,-0.17%
2/13/2018 0:00,108.655,108.782,107.41,107.817,-83.8,-0.78%
2/14/2018 0:00,107.816,107.901,106.719,107.014,-80.2,-0.75%
2/15/2018 0:00,106.994,107.006,106.034,106.146,-84.8,-0.80%
2/16/2018 0:00,106.118,106.401,105.548,106.291,17.3,0.16%
2/20/2018 0:00,106.589,107.38,106.562,107.325,73.6,0.69%
2/21/2018 0:00,107.322,107.904,107.277,107.776,45.4,0.42%
2/22/2018 0:00,107.769,107.77,106.592,106.749,-102,-0.96%
2/23/2018 0:00,106.748,107.136,106.514,106.856,10.8,0.10%
2/26/2018 0:00,107.175,107.175,106.372,106.946,-22.9,-0.21%
2/27/2018 0:00,106.906,107.676,106.784,107.326,42,0.39%
2/28/2018 0:00,107.321,107.525,106.563,106.681,-64,-0.60%
3/1/2018 0:00,106.672,107.206,106.165,106.241,-43.1,-0.41%
3/2/2018 0:00,106.224,106.298,105.248,105.723,-50.1,-0.47%
3/5/2018 0:00,105.443,106.237,105.349,106.196,75.3,0.71%
3/6/2018 0:00,106.192,106.465,105.852,106.118,-7.4,-0.07%
3/7/2018 0:00,106.126,106.224,105.457,106.063,-6.3,-0.06%
3/8/2018 0:00,106.065,106.315,105.891,106.197,13.2,0.12%
3/9/2018 0:00,106.193,107.051,106.152,106.801,60.8,0.57%
3/12/2018 0:00,106.652,106.976,106.318,106.415,-23.7,-0.22%
3/13/2018 0:00,106.407,107.292,106.252,106.575,16.8,0.16%
3/14/2018 0:00,106.569,106.748,106.063,106.324,-24.5,-0.23%
3/15/2018 0:00,106.319,106.415,105.786,106.342,2.3,0.02%
3/16/2018 0:00,106.338,106.376,105.602,106.011,-32.7,-0.31%
3/19/2018 0:00,105.91,106.308,105.679,106.097,18.7,0.18%
3/20/2018 0:00,106.085,106.605,105.926,106.533,44.8,0.42%
3/21/2018 0:00,106.534,106.639,105.879,106.043,-49.1,-0.46%
3/22/2018 0:00,106.045,106.083,105.258,105.277,-76.8,-0.73%
3/23/2018 0:00,105.273,105.402,104.634,104.717,-55.6,-0.53%
3/26/2018 0:00,104.657,105.481,104.631,105.399,74.2,0.70%
3/27/2018 0:00,105.399,105.901,105.321,105.327,-7.2,-0.07%
3/28/2018 0:00,105.328,107.013,105.326,106.853,152.5,1.43%
3/29/2018 0:00,106.835,106.936,106.269,106.43,-40.5,-0.38%
4/2/2018 0:00,106.169,106.451,105.659,105.904,-26.5,-0.25%
4/3/2018 0:00,105.877,106.658,105.693,106.605,72.8,0.68%
4/4/2018 0:00,106.605,106.846,105.988,106.771,16.6,0.16%
4/5/2018 0:00,106.763,107.493,106.711,107.385,62.2,0.58%
4/6/2018 0:00,107.381,107.461,106.776,106.942,-43.9,-0.41%
4/9/2018 0:00,106.961,107.202,106.615,106.746,-21.5,-0.20%
4/10/2018 0:00,106.77,107.399,106.618,107.2,43,0.40%
4/11/2018 0:00,107.193,107.249,106.648,106.789,-40.4,-0.38%
4/12/2018 0:00,106.783,107.429,106.699,107.347,56.4,0.53%
4/13/2018 0:00,107.31,107.776,107.201,107.34,3,0.03%
4/16/2018 0:00,107.497,107.609,107.037,107.115,-38.2,-0.36%
4/17/2018 0:00,107.109,107.213,106.883,107.008,-10.1,-0.09%
4/18/2018 0:00,107.001,107.387,106.986,107.227,22.6,0.21%
4/19/2018 0:00,107.23,107.518,107.184,107.372,14.2,0.13%
4/20/2018 0:00,107.359,107.859,107.358,107.644,28.5,0.26%
4/23/2018 0:00,107.784,108.753,107.662,108.701,91.7,0.84%
4/24/2018 0:00,108.699,109.201,108.542,108.811,11.2,0.10%
4/25/2018 0:00,108.811,109.453,108.784,109.424,61.3,0.56%
4/26/2018 0:00,109.418,109.468,109.064,109.301,-11.7,-0.11%
4/27/2018 0:00,109.292,109.539,108.957,109.082,-21,-0.19%
4/30/2018 0:00,109.062,109.453,109.021,109.325,26.3,0.24%
5/1/2018 0:00,109.335,109.889,109.235,109.862,52.7,0.48%
5/2/2018 0:00,109.86,110.038,109.597,109.85,-1,-0.01%
5/3/2018 0:00,109.833,109.919,108.931,109.197,-63.6,-0.58%
5/4/2018 0:00,109.187,109.273,108.647,109.06,-12.7,-0.12%
5/7/2018 0:00,109.109,109.395,108.755,109.089,-2,-0.02%
5/8/2018 0:00,109.086,109.35,108.826,109.133,4.7,0.04%
5/9/2018 0:00,109.118,109.83,108.993,109.74,62.2,0.57%
5/10/2018 0:00,109.739,110.017,109.315,109.391,-34.8,-0.32%
5/11/2018 0:00,109.39,109.567,109.15,109.365,-2.5,-0.02%
5/14/2018 0:00,109.332,109.669,109.206,109.642,31,0.28%
5/15/2018 0:00,109.644,110.455,109.644,110.352,70.8,0.64%
5/16/2018 0:00,110.343,110.405,110.042,110.405,6.2,0.06%
5/17/2018 0:00,110.392,110.859,110.072,110.773,38.1,0.34%
